Full Name,Email Address,Department,Phone Number,Address
Lucía Rodríguez,lucía.rodríguez1@systech.br,Compras,(41) 9288-567,"Rua Oscar Niemeyer 53, Curitiba/PR"
Ana Martínez,ana.martínez2@systech.br,Compras,(41) 9385-936,"Rua Princesa Isabel 27, Curitiba/PR"
Miguel Fernández,miguel.fernández3@systech.br,TI,(41) 9557-441,"Rua Tiradentes 77, Curitiba/PR"
Juan López,juan.lópez4@systech.br,Administração,(41) 9786-976,"Rua Dom Pedro II 85, Curitiba/PR"
María Sánchez,maría.sánchez5@systech.br,Coordinador,(41) 9602-421,"Rua Tiradentes 62, Curitiba/PR"
María González,maría.gonzález6@systech.br,CEO,(41) 9438-860,"Rua Dom Pedro I 48, Curitiba/PR"
Pedro Gómez,pedro.gómez7@systech.br,Vendas,(41) 9518-990,"Rua Juscelino Kubitschek 21, Curitiba/PR"
Ana Sánchez,ana.sánchez8@systech.br,Compras,(41) 9319-241,"Rua Zumbi dos Palmares 71, Curitiba/PR"
Carlos Díaz,carlos.díaz9@systech.br,Gerente,(41) 9123-133,"Rua Oscar Niemeyer 28, Curitiba/PR"
Sofía López,sofía.lópez10@systech.br,Lider,(41) 9299-404,"Rua Oscar Niemeyer 89, Curitiba/PR"
Pedro Martín,pedro.martín11@systech.br,Coordinador,(41) 9557-964,"Rua Machado de Assis 30, Curitiba/PR"
Juan Martínez,juan.martínez12@systech.br,Compras,(41) 9723-890,"Rua Machado de Assis 12, Curitiba/PR"
María Rodríguez,maría.rodríguez13@systech.br,Compras,(41) 9868-947,"Rua Oscar Niemeyer 86, Curitiba/PR"
Juan Martínez,juan.martínez14@systech.br,Gestor,(41) 9712-687,"Rua Getúlio Vargas 38, Curitiba/PR"
Carlos López,carlos.lópez15@systech.br,Coordinador,(41) 9850-926,"Rua Tiradentes 77, Curitiba/PR"
María Fernández,maría.fernández16@systech.br,Administração,(41) 9806-545,"Rua Machado de Assis 49, Curitiba/PR"
Lucía Gómez,lucía.gómez17@systech.br,Gerente,(41) 9405-203,"Rua Zumbi dos Palmares 13, Curitiba/PR"
Lucía Rodríguez,lucía.rodríguez18@systech.br,Lider,(41) 9607-167,"Rua Oscar Niemeyer 18, Curitiba/PR"
Carlos González,carlos.gonzález19@systech.br,Gerente,(41) 9644-782,"Rua Chico Mendes 8, Curitiba/PR"
Ana Fernández,ana.fernández20@systech.br,TI,(41) 9375-677,"Rua Chico Mendes 7, Curitiba/PR"
Miguel Pérez,miguel.pérez21@systech.br,Gerente,(41) 9266-221,"Rua Princesa Isabel 48, Curitiba/PR"
Miguel Pérez,miguel.pérez22@systech.br,Gestor,(41) 9170-144,"Rua Juscelino Kubitschek 90, Curitiba/PR"
Sofía Martín,sofía.martín23@systech.br,Coordinador,(41) 9976-376,"Rua Princesa Isabel 59, Curitiba/PR"
Juan Martínez,juan.martínez24@systech.br,Vendas,(41) 9561-450,"Rua Dom Pedro I 50, Curitiba/PR"
Lucía Martín,lucía.martín25@systech.br,Vendas,(41) 9312-447,"Rua Tiradentes 56, Curitiba/PR"
Carlos Sánchez,carlos.sánchez26@systech.br,Lider,(41) 9337-327,"Rua Getúlio Vargas 68, Curitiba/PR"
María Fernández,maría.fernández27@systech.br,Compras,(41) 9435-340,"Rua Zumbi dos Palmares 55, Curitiba/PR"
Luis Martín,luis.martín28@systech.br,CEO,(41) 9166-112,"Rua Chico Mendes 20, Curitiba/PR"
María Rodríguez,maría.rodríguez29@systech.br,CEO,(41) 9312-723,"Rua Princesa Isabel 87, Curitiba/PR"
Sofía Gómez,sofía.gómez30@systech.br,Lider,(41) 9703-687,"Rua Oscar Niemeyer 30, Curitiba/PR"
Ana López,ana.lópez31@systech.br,Administração,(41) 9506-836,"Rua Machado de Assis 15, Curitiba/PR"
Miguel Gómez,miguel.gómez32@systech.br,Vendas,(41) 9457-288,"Rua Zumbi dos Palmares 66, Curitiba/PR"
Lucía González,lucía.gonzález33@systech.br,Administração,(41) 9437-764,"Rua Tiradentes 12, Curitiba/PR"
Lucía Rodríguez,lucía.rodríguez34@systech.br,Vendas,(41) 9673-306,"Rua Dom Pedro II 76, Curitiba/PR"
Sofía Rodríguez,sofía.rodríguez35@systech.br,Lider,(41) 9109-898,"Rua Dom Pedro I 61, Curitiba/PR"
Luis Rodríguez,luis.rodríguez36@systech.br,Lider,(41) 9201-336,"Rua Oscar Niemeyer 92, Curitiba/PR"
Ana Sánchez,ana.sánchez37@systech.br,Gerente,(41) 9575-520,"Rua Oscar Niemeyer 25, Curitiba/PR"
Carlos Pérez,carlos.pérez38@systech.br,TI,(41) 9393-571,"Rua Getúlio Vargas 60, Curitiba/PR"
Sofía Martínez,sofía.martínez39@systech.br,Coordinador,(41) 9571-498,"Rua Tiradentes 49, Curitiba/PR"
Carlos Gómez,carlos.gómez40@systech.br,Lider,(41) 9999-984,"Rua Getúlio Vargas 8, Curitiba/PR"
María Rodríguez,maría.rodríguez41@systech.br,TI,(41) 9812-810,"Rua Dom Pedro I 43, Curitiba/PR"
Lucía Martín,lucía.martín42@systech.br,Compras,(41) 9869-733,"Rua Chico Mendes 41, Curitiba/PR"
Luis Sánchez,luis.sánchez43@systech.br,Lider,(41) 9899-803,"Rua Dom Pedro II 79, Curitiba/PR"
Ana López,ana.lópez44@systech.br,Compras,(41) 9817-305,"Rua Tiradentes 99, Curitiba/PR"
Sofía González,sofía.gonzález45@systech.br,Vendas,(41) 9887-650,"Rua Dom Pedro II 13, Curitiba/PR"
Laura Martínez,laura.martínez46@systech.br,Gerente,(41) 9943-798,"Rua Oscar Niemeyer 62, Curitiba/PR"
Luis Díaz,luis.díaz47@systech.br,Gestor,(41) 9443-273,"Rua Machado de Assis 39, Curitiba/PR"
Luis Martín,luis.martín48@systech.br,Coordinador,(41) 9738-845,"Rua Getúlio Vargas 62, Curitiba/PR"
Sofía González,sofía.gonzález49@systech.br,Administração,(41) 9725-488,"Rua Oscar Niemeyer 37, Curitiba/PR"
